,compound,c_r_e_a_m_-finance,definer,dydx,nexo,celsius
2018-07-17,9.953724900790066,2.2175186187882585,2.291264263894148,7.11244363121916,12.0,8.8
2018-07-18,10.580747541491572,2.681616289861858,2.254302550844759,7.399786083996233,12.0,8.8
2018-07-19,10.735585395600639,2.604717200707027,2.3555769293354047,9.025901350960277,12.0,8.8
2018-07-20,11.548543687552554,3.3452494573042544,2.3912291007809188,8.136644094605618,12.0,8.8
2018-07-21,11.799951251603172,3.7090760498513147,2.4782925624279137,8.417177906676994,12.0,8.8
2018-07-22,11.755153374522962,3.9625280463065162,3.154735498350425,8.356183929522128,12.0,8.8
2018-07-23,11.953516863904072,4.448069090332926,3.1375023801075983,8.224477948954908,12.0,8.8
2018-07-24,12.628698828044252,5.427358110931904,3.119819492405283,9.190746507374167,12.0,8.8
2018-07-25,13.140014110522245,6.260725779723595,3.191846825081773,9.347147686815692,12.0,8.8
2018-07-26,13.613733362722698,9.39320070515811,3.315870974680641,8.73571371098427,12.0,8.8
2018-07-27,13.503415604217498,10.808800451432079,4.161042979823132,8.931382050863714,12.0,8.8
2018-07-28,13.500506409566375,11.68205559895802,4.273537623176326,9.984283564737419,12.0,8.8
2018-07-29,13.662034029624806,11.47349577991921,3.7252858678313947,10.265185739356133,12.0,8.8
2018-07-30,13.562339653369587,11.128482881009619,3.6303588724894675,11.764949720927074,12.0,8.8
2018-07-31,13.274372233341483,12.237929345052903,3.634037290755851,10.499761241012417,12.0,8.8
2018-08-01,12.89420164091183,12.494899999343163,3.6260329828820304,10.517614817514273,12.0,8.8
2018-08-02,12.469551558719484,10.186399653746978,3.7282380886473203,10.799332230751762,12.0,8.8
2018-08-03,12.149300741776914,9.551889831906152,3.1133339092023995,11.408818419972635,12.0,8.8
2018-08-04,11.729613313939268,9.559183023373041,3.168289322746019,10.576702300583735,12.0,8.8
2018-08-05,11.31713551708951,10.16016026002058,3.522834703668599,10.754061799160993,12.0,8.8
2018-08-06,11.055968612384115,10.444128583055432,3.5740334482170835,9.925720795948953,12.0,8.8
2018-08-07,10.863064216458168,10.775391500838623,3.6389466775466657,10.956298001619746,12.0,8.8
2018-08-08,10.7053465798983,12.113955980465525,3.6375300920573044,11.173131936481559,12.0,8.8
2018-08-09,10.564847018487058,12.670427894311805,3.4164068881049645,11.010979826539272,12.0,8.8
2018-08-10,10.50725380597599,11.987294693804724,3.1663305299821443,10.608354154819068,12.0,8.8
2018-08-11,10.556938141528855,11.218423953303454,2.9387824750341665,10.242363919106507,12.0,8.8
2018-08-12,10.623391210906728,11.437924142413985,2.6061499982415484,9.229182396390444,12.0,8.8
2018-08-13,10.518884476090536,11.839349629868082,2.638784479828494,8.09079195164746,12.0,8.8
2018-08-14,10.298643014948917,10.37099995961778,2.5860132473566386,6.905329800109241,12.0,8.8
2018-08-15,10.052834106232524,8.382090227625403,2.7536868927793248,6.07483226808044,12.0,8.8
2018-08-16,9.870054694751556,7.565401573593066,2.6926672154035844,5.412434073536749,12.0,8.8
