id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,35994.0,677915623138,1,759477138877.0,34769129294,36590.0,34314.0,1453.31,4.20754,32571030005.0,5.04708,18744775.0,21000000.0,21000000.0,64805.0,-44.19299,2021-04-14T11:54:46.763Z,67.81,53234.48074,2013-07-06T00:00:00.000Z,,2021-06-29T22:28:47.911Z
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,2191.1,257171364166,2,,27580107645,2243.9,2079.29,86.8,4.125,12823679587.0,5.24813,116493695.874,,,4356.99,-49.33199,2021-05-12T14:41:48.623Z,0.432979,509763.3015,2015-10-20T00:00:00.000Z,"{'times': 80.18578506946349, 'currency': 'btc', 'percentage': 8018.578506946349}",2021-06-29T22:28:49.182Z
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,62768550529,3,,69586477416,1.01,0.99858,-0.001319283151,-0.13148,-162523766.2542801,-0.25826,62636527807.3693,62636527807.3693,,1.32,-24.26035,2018-07-24T00:00:00.000Z,0.572521,75.03424,2015-03-02T00:00:00.000Z,,2021-06-29T22:05:30.411Z
binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,303.58,47092436467,4,51968261080.0,1873707934,314.39,288.78,11.83,4.05544,1874864186.0,4.14632,154533651.9,170533651.9,170533651.9,686.31,-55.59725,2021-05-10T07:24:17.097Z,0.0398177,765235.66689,2017-10-19T00:00:00.000Z,,2021-06-29T22:28:08.999Z
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.39,44623992938,5,62622566505.0,3536300591,1.42,1.32,0.053897,4.04694,2020108856.0,4.74161,32066390668.4135,45000000000.0,45000000000.0,2.45,-43.09449,2021-05-16T07:44:28.033Z,0.01925275,7128.12486,2020-03-13T02:22:55.044Z,,2021-06-29T22:28:40.825Z
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.266118,34815813929,6,,2797533640,0.274801,0.254575,0.00787319,3.04873,1186324007.0,3.52763,130234209885.741,,,0.731578,-63.45813,2021-05-08T05:08:23.458Z,8.69e-05,307518.83249,2015-05-06T00:00:00.000Z,,2021-06-29T22:28:40.208Z
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.709622,33000750985,7,,4200081688,0.728088,0.642583,0.061499,9.48875,3003777282.0,10.0136,46146927647.0,100000000000.0,,3.4,-78.95736,2018-01-07T00:00:00.000Z,0.00268621,26522.05701,2014-05-22T00:00:00.000Z,,2021-06-29T22:28:45.281Z
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,0.998267,25250881887,8,,3505834801,1.01,0.996005,-0.004190324864,-0.41801,-437881315.23459244,-1.70456,25245604764.1497,25250764982.5597,,1.17,-14.70932,2019-05-08T00:40:28.300Z,0.891848,12.15018,2021-05-19T13:14:05.611Z,,2021-06-29T22:28:19.850Z
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,16.23,16473920734,9,,904165538,17.04,15.67,0.485663,3.08555,673798312.0,4.26451,1005859447.28236,1086808581.70423,,49.35,-66.81081,2021-05-15T03:59:58.961Z,2.7,507.18428,2020-08-20T05:48:11.359Z,,2021-06-29T22:28:40.563Z
binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.0,10116621360,10,,3830204351,1.01,0.995008,-0.000967440233,-0.09663,128845658.0,1.29003,10107127686.5,10107127686.5,,1.15,-13.27882,2020-03-13T02:35:42.953Z,0.901127,11.07636,2021-05-19T13:04:37.445Z,,2021-06-29T22:28:14.340Z
