,risk1_roi,risk2_roi,risk3_roi,risk4_roi,risk5_roi
2018-11-26,0.0,0.0,0.0,0.0,0.0
2018-11-27,0.032834178986433926,-1.2759013639861507,-1.9729664823436792,-2.749676851494911,-2.4920348599706017
2018-11-28,0.06561236134226078,-2.004089316810422,-3.065836025870368,-4.23914587673444,-3.7801665621883984
2018-11-29,0.09831429688289006,-2.428255588091446,-3.7490174279158595,-5.311197163477203,-4.790199179030452
2018-11-30,0.13081984142273484,-2.490598701863888,-3.9636195529722755,-5.7457787821879975,-5.180896960265358
2018-12-01,0.16291703667091895,-2.916612737188501,-4.580211206134948,-6.61825852302286,-5.876323423373918
2018-12-02,0.19468641607903692,-2.570800973156679,-4.175759908349832,-6.211975582969373,-5.485812271425758
2018-12-03,0.22615295730956575,-2.4758170927965466,-4.115102020385791,-6.084160659927235,-5.2743123212236185
2018-12-04,0.2570482205289295,-2.3941878752333423,-4.05265137471271,-5.93651527355874,-5.182030546603315
2018-12-05,0.2873216017532627,-2.266732703824772,-3.9420105758411097,-5.611791431923507,-4.886961793318449
2018-12-06,0.31695313711865936,-2.9021115909013844,-4.932362009083192,-6.55430880317266,-5.747896059974707
2018-12-07,0.3460703002738512,-3.8963727555346424,-6.399778914399093,-8.31429556179404,-7.410913088497182
2018-12-08,0.3748088143762942,-4.6475175947690275,-7.518729128001922,-9.757173679668682,-8.806239810963405
2018-12-09,0.4031175000716587,-5.632683170418076,-9.00057463624806,-11.571271593759377,-10.48984300131373
2018-12-10,0.4310322957726669,-6.396112179466911,-10.17689429320086,-13.071560039779087,-11.824634528221281
2018-12-11,0.4585450163099267,-7.004463132096163,-11.137807707987491,-14.377444085419143,-12.999332952200731
2018-12-12,0.4855959115143804,-7.77820002423158,-12.324751135678966,-15.964681979934355,-14.42709618844819
2018-12-13,0.512172338337038,-8.214791467795479,-13.01361697451378,-16.998148413249666,-15.357178169336862
2018-12-14,0.5382382019002279,-8.434101862842141,-13.331953820452611,-17.397705422596886,-15.718956316399414
2018-12-15,0.5638953731789087,-8.707996563790573,-13.78673209381327,-17.85282835544629,-16.115399195701514
2018-12-16,0.589306159395818,-8.978471678639309,-14.190039637170159,-18.346163461844043,-16.53725889921185
2018-12-17,0.6144837348295482,-9.419667031865998,-14.801976886410301,-18.98410727748147,-17.101000503479497
2018-12-18,0.639585729196753,-9.286109493501968,-14.588920513270551,-18.555657971017396,-16.552285903489462
2018-12-19,0.6648551439676851,-8.851632851648759,-13.922430462874104,-17.57948250259426,-15.469763303891412
2018-12-20,0.6902656889775329,-8.468454877807758,-13.350309006078675,-16.768731995047347,-14.349277206541572
2018-12-21,0.7157330908663226,-7.348233237871369,-11.698020043070542,-14.712810178256461,-12.101018580759472
2018-12-22,0.7411977980991935,-6.443539386730691,-10.348557486401873,-12.835417877609785,-10.256959638110231
2018-12-23,0.7665106479023649,-5.381881369969761,-8.71139804460823,-10.585435640661586,-8.1096634163559
2018-12-24,0.7916608689238274,-4.263676237025379,-6.7660906870137865,-7.991073385305896,-5.72059378731899
2018-12-25,0.8165443375658299,-3.3964633898850423,-5.086170018685351,-5.72060487252908,-3.826725823059917
2018-12-26,0.8409116797619447,-3.0967654634737727,-4.299477537968983,-4.777837911864339,-3.046890532515988
2018-12-27,0.8648589075523745,-2.797739920404581,-3.4817522191451644,-3.7484352323026258,-2.403014718076193
2018-12-28,0.8883858925224075,-3.2915386561769537,-3.9808337040895907,-4.316488413355472,-3.151672249432238
2018-12-29,0.9115499569357723,-3.113004913322456,-3.3628461795056808,-3.5884271447116305,-2.6381355017867065
2018-12-30,0.9343806932897394,-3.1585542076245616,-3.0185625977329806,-3.242507619040765,-2.45735113361242
2018-12-31,0.9565956137691813,-3.2388032800068913,-2.96552640926366,-3.2076481286257916,-2.4984045579937515
2019-01-01,0.9782688079560273,-3.6232006394972984,-3.4744141598080915,-3.84502124019167,-3.0111268877947026
2019-01-02,0.9995249079634334,-3.5104061051915494,-3.1951915929831785,-3.4220898615928093,-2.7007656511399603
2019-01-03,1.0203396393060018,-3.2671490188243553,-2.5812714673464257,-2.608269895232027,-2.0017752038131107
2019-01-04,1.0408343821415968,-2.869259651561052,-1.6721373783562967,-1.445384248281215,-0.8546603905647885
2019-01-05,1.0609539645344626,-2.797372142177153,-1.31117648645926,-1.0036575011924498,-0.09320530740360766
2019-01-06,1.0808185957295962,-2.6953969973193352,-0.9862440006332491,-0.5487513199311138,0.5563992942290383
2019-01-07,1.1010260572872994,-2.369465680729263,-0.403503839924241,0.22604139167621895,1.4011146092628906
2019-01-08,1.121526612605578,-1.9365689030986033,0.3066207815644759,1.0932553678540273,2.2201228879119697
2019-01-09,1.1423025128719928,-1.6762348217613265,0.7156238329949502,1.7663799164307221,2.980043777223784
2019-01-10,1.1633460239122826,-1.560434418390713,0.7715143448723296,2.095330696765629,3.344741485917737
2019-01-11,1.18461188823305,-1.8067072729069196,0.22379938534236032,1.6310778062120335,2.9028218355267086
2019-01-12,1.2061334521553846,-2.128616719960334,-0.5272531239213265,0.9020252690021664,2.319222265216837
2019-01-13,1.2278672764889365,-2.469187465134894,-1.3265214467614612,0.0867871178939339,1.6808702778416773
2019-01-14,1.2495079908966744,-3.2258012476014386,-2.709694819291144,-1.646623886734659,0.49290097925327814
2019-01-15,1.2711159553510925,-3.707941133135293,-3.553313712824149,-2.586548625919889,0.06444307236374414
2019-01-16,1.2926938491185496,-4.299123063579799,-4.603789798179989,-3.8999775596913793,-0.7025339181015795
2019-01-17,1.314249302776318,-4.864544912006622,-5.604982032084891,-5.155048826505023,-1.4044096367900352
2019-01-18,1.3358205193175934,-4.8788782469717376,-5.7006980436862165,-5.127091585260871,-1.0695693250126936
2019-01-19,1.3573777875734976,-4.934272972428346,-5.850209303365801,-5.153214259471113,-0.945664836762603
2019-01-20,1.3788727476357963,-4.836642509361255,-5.770433561347161,-4.891875878472376,-0.5485677133117122
2019-01-21,1.4003508122702613,-4.754838483297817,-5.6442240566867525,-4.470062209769324,-0.1431885420204111
2019-01-22,1.4218163269589752,-4.938852785169956,-6.024941917400696,-4.754597795889225,-0.32724372403893653
2019-01-23,1.4433607324555595,-4.930649647466623,-6.053778554390902,-4.630291227897999,-0.16981272923570145
2019-01-24,1.4650150867834668,-4.99669898707991,-6.221564758865071,-4.771991928058412,-0.2618784727301602
2019-01-25,1.4867631903617564,-5.077339199658724,-6.401675778713184,-4.987190097946382,-0.3897605101783199
2019-01-26,1.5086813886962744,-5.12285134021235,-6.518893965748603,-5.103269446951714,-0.5101187678754258
2019-01-27,1.5308351492929262,-5.278788981972369,-6.807004248653499,-5.379094833331081,-0.7577571841504778
2019-01-28,1.5532991016544884,-5.277643792859422,-6.897670181166163,-5.428760609473372,-0.9036418600851022
2019-01-29,1.5761042634189408,-5.438170242011267,-7.242032541914739,-5.981227054889018,-1.5644980874595262
2019-01-30,1.5992171217765048,-5.68422519744999,-7.7202694324662104,-6.666294474737782,-2.301743988336284
2019-01-31,1.6226734149578306,-5.831352541339797,-8.012995427136971,-7.082210141047071,-2.8656252228192898
2019-02-01,1.646500143131533,-6.031645902155844,-8.390351291312697,-7.613819006545796,-3.5893688100235437
2019-02-02,1.670715414627523,-6.183290179317666,-8.689321200322794,-8.043114417842446,-4.115391377799895
2019-02-03,1.6953451936195165,-6.298513272445348,-8.924767138282945,-8.38226422634051,-4.552954935649581
2019-02-04,1.7203149873513723,-6.431703518169471,-9.15533530985347,-8.743119827467282,-4.962089431647229
